step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.399685,18.956192,45.903969,26.947777,45.903969,16976.210938,0.0,0.0,0.0,13
2,4.774614,16.69376,43.344257,26.650497,43.344257,17978.748047,0.0,0.0,0.0,13
3,3.677079,16.629633,43.010593,26.38096,43.010593,18118.222656,0.0,0.0,0.0,13
4,3.980775,16.611584,43.239231,26.627647,43.239231,18022.416016,0.0,0.0,0.0,13
5,3.988238,16.785248,43.570816,26.785568,43.570816,17885.263672,0.0,0.0,0.0,13
6,3.53354,16.811232,43.48608,26.674849,43.48608,17920.113281,0.0,0.0,0.0,13
7,3.875813,16.671616,43.314304,26.642689,43.314304,17991.179688,0.0,0.0,0.0,13
8,3.750477,16.73488,43.338913,26.604033,43.338913,17980.964844,0.0,0.0,0.0,13
9,3.598403,16.76832,43.552479,26.784159,43.552479,17892.791016,0.0,0.0,0.0,13
10,3.646581,16.802433,43.617535,26.815102,43.617535,17866.105469,0.0,0.0,0.0,13
11,4.104793,16.746719,43.482399,26.73568,43.482399,17921.628906,0.0,0.0,0.0,13
