step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.504525,117.048355,100544.312500,100661.359375,30.966221,100147.750000,245.485565,100393.234375,13
2,4.206639,108.894722,122228.187500,122337.085938,25.479614,121817.156250,258.907135,122076.062500,13
3,4.005251,110.433762,122235.054688,122345.492188,25.477865,121809.406250,274.293762,122083.703125,13
4,3.950442,110.226875,122247.109375,122357.335938,25.475397,121813.046875,281.966583,122095.015625,13
5,3.725963,111.764481,122245.203125,122356.968750,25.475473,121900.835938,193.483780,122094.320312,13
6,3.939268,108.949600,122246.023438,122354.976562,25.475891,121881.968750,212.576263,122094.546875,13
7,3.842042,110.082848,122257.929688,122368.015625,25.473173,122085.539062,22.070272,122107.609375,13
8,3.840991,109.637024,122240.382812,122350.023438,25.476921,121834.171875,252.704773,122086.875000,13
9,3.756612,110.311386,122236.937500,122347.250000,25.477499,121876.328125,210.381821,122086.710938,13
10,3.722111,108.944092,122241.437500,122350.382812,25.476847,121888.515625,202.293243,122090.812500,13
11,3.501660,111.193764,122440.093750,122551.289062,25.435080,121936.781250,349.731842,122286.515625,13
